"location","population","max_cases","max_case_percentage"
"Hong Kong","7496988",NULL,NULL
"Anguilla","15002",NULL,NULL
"Gibraltar","33691",NULL,NULL
"International",NULL,"721",NULL
"Aruba","106766",NULL,NULL
"Cayman Islands","65720",NULL,NULL
"Saint Helena","6071",NULL,NULL
"Northern Cyprus",NULL,NULL,NULL
"Guernsey","67052",NULL,NULL
"Nauru","10834",NULL,NULL
"Curacao","164100",NULL,NULL
"Faeroe Islands","48865",NULL,NULL
"Macao","649342",NULL,NULL
"Tonga","105697",NULL,NULL
"Greenland","56772",NULL,NULL
"Turks and Caicos Islands","38718",NULL,NULL
"Falkland Islands","3483",NULL,NULL
"Isle of Man","85032",NULL,NULL
"Montserrat","4999",NULL,NULL
"Bermuda","62273",NULL,NULL
"Jersey","101073",NULL,NULL
"Andorra","77265","13232","17.125477253607713"
"Montenegro","628062","97389","15.506271673815641"
"Czechia","10708982","1630758","15.22794603632726"
"San Marino","33938","5066","14.92722022511639"
"Slovenia","2078932","240292","11.558434811720634"
"Luxembourg","625976","67205","10.736034608355592"
"Bahrain","1701583","176934","10.398199793956568"
"Serbia","6804596","689557","10.133694932072382"
"United States","331002647","32346971","9.772420641699581"
"Israel","8655541","838481","9.687216547180586"
"Sweden","10099270","973604","9.640340341430619"
"Estonia","1326539","122019","9.198297223074482"
"Lithuania","2722291","247269","9.083121532562096"
"Netherlands","17134873","1522973","8.888148747878084"
"Belgium","11589616","990229","8.544105343956176"
"Panama","4314768","364576","8.449492533549892"
"France","68147687","5677835","8.33166208561121"
"Portugal","10196707","836493","8.203560227826493"
"Croatia","4105268","332183","8.091627635516122"
"Hungary","9660350","779348","8.067492378640525"
"Georgia","3989175","310310","7.778801381237975"
"Lebanon","6825442","526578","7.714928937935447"
"Liechtenstein","38137","2926","7.672339198154024"
"Switzerland","8654618","659974","7.625686078807868"
"Spain","46754783","3524077","7.537361471659487"
"Cyprus","875899","65233","7.447548176216665"
"Poland","37846605","2792142","7.377523030137049"
"North Macedonia","2083380","152367","7.313452178671199"
"Armenia","2963234","216064","7.291493010676849"
"Qatar","2881060","205652","7.138067239141149"
